x_ITM,y_ITM,x_MODIS,y_MODIS,satellite,square,year,doy,evi,ndvi,QC,date
717293.3766260965,753194.4026961577,-412000.8331724499,5950672.70290343,Aqua,1,2018,264,0.4239,0.6732,0,2018-09-21T00:00:00Z
719152.1313741314,753240.9147571938,-410147.58230633824,5950672.70290343,Aqua,1,2018,264,0.5016,0.7482,0,2018-09-21T00:00:00Z
719384.475133683,753246.7802070468,-409915.92594807426,5950672.70290343,Aqua,1,2018,264,0.5756,0.7821,0,2018-09-21T00:00:00Z
719616.8187626167,753252.6570885873,-409684.2695898103,5950672.70290343,Aqua,1,2018,264,0.5456,0.7488,0,2018-09-21T00:00:00Z
720313.8488631609,753270.3563235813,-408989.3005150184,5950672.70290343,Aqua,1,2018,264,0.5782,0.76,0,2018-09-21T00:00:00Z
721010.8777789614,753288.1584446571,-408294.3314402266,5950672.70290343,Aqua,1,2018,264,0.5234,0.7232000000000001,0,2018-09-21T00:00:00Z
713137.2204936906,752861.1220816647,-416170.6476212012,5950441.046545166,Aqua,1,2018,264,0.4487,0.8219,0,2018-09-21T00:00:00Z
713369.5675288701,752866.691175293,-415938.9912629372,5950441.046545166,Aqua,1,2018,264,0.5307000000000001,0.7516,0,2018-09-21T00:00:00Z
719178.2024542416,753009.6333904231,-410147.58230633824,5950441.046545166,Aqua,1,2018,264,0.2272,0.4996,0,2018-09-21T00:00:00Z
719410.5461832613,753015.4996768271,-409915.92594807426,5950441.046545166,Aqua,1,2018,264,0.4028,0.6731,0,2018-09-21T00:00:00Z
719642.8897816786,753021.37739405094,-409684.2695898103,5950441.046545166,Aqua,1,2018,264,0.5515,0.7691,0,2018-09-21T00:00:00Z
720107.5765856861,753033.167121058,-409220.9568732824,5950441.046545166,Aqua,1,2018,264,0.5093,0.7309,0,2018-09-21T00:00:00Z
720339.9197907664,753039.0791308908,-408989.3005150184,5950441.046545166,Aqua,1,2018,264,0.5945,0.7885,0,2018-09-21T00:00:00Z
720572.2628642239,753045.002571643,-408757.6441567545,5950441.046545166,Aqua,1,2018,264,0.5531,0.7547,0,2018-09-21T00:00:00Z
720804.6058058043,753050.9374433397,-408525.9877984905,5950441.046545166,Aqua,1,2018,264,0.4144,0.6476000000000001,0,2018-09-21T00:00:00Z
713163.2916653446,752629.8187836435,-416170.6476212012,5950209.390186902,Aqua,1,2018,264,0.5835,0.7961,0,2018-09-21T00:00:00Z
713395.638669627,752635.3887361897,-415938.9912629372,5950209.390186902,Aqua,1,2018,264,0.5243,0.7516,0,2018-09-21T00:00:00Z
713860.3323060571,752646.5629292801,-415475.6785464093,5950209.390186902,Aqua,1,2018,264,0.6041,0.8105,0,2018-09-21T00:00:00Z
720133.6468364967,752801.8892132416,-409220.9568732824,5950209.390186902,Aqua,1,2018,264,0.6063000000000001,0.7825,0,2018-09-21T00:00:00Z
720365.9900111115,752807.8020559703,-408989.3005150184,5950209.390186902,Aqua,1,2018,264,0.617,0.7885,0,2018-09-21T00:00:00Z
720598.3330541195,752813.7263287512,-408757.6441567545,5950209.390186902,Aqua,1,2018,264,0.4837,0.6938,0,2018-09-21T00:00:00Z
713189.3621295702,752398.5156091443,-416170.6476212012,5949977.733828638,Aqua,1,2018,264,0.5998,0.7879,0,2018-09-21T00:00:00Z
713421.7091029596,752404.0864204206,-415938.9912629372,5949977.733828638,Aqua,1,2018,264,0.6062,0.7879,0,2018-09-21T00:00:00Z
713654.0559524024,752409.6686601542,-415707.3349046732,5949977.733828638,Aqua,1,2018,264,0.6243,0.81,0,2018-09-21T00:00:00Z
713886.4026776433,752415.2623283688,-415475.6785464093,5949977.733828638,Aqua,1,2018,264,0.6215,0.8193,0,2018-09-21T00:00:00Z
717836.2777570324,752512.1032686614,-411537.520455922,5949977.733828638,Aqua,1,2018,264,0.5541,0.7827000000000001,0,2018-09-21T00:00:00Z
720159.7163800088,752570.6114233494,-409220.9568732824,5949977.733828638,Aqua,1,2018,264,0.5558,0.7441,0,2018-09-21T00:00:00Z
720392.0595241629,752576.5250987887,-408989.3005150184,5949977.733828638,Aqua,1,2018,264,0.5264,0.7169,0,2018-09-21T00:00:00Z
713215.4318863329,752167.2125581452,-416170.6476212012,5949746.077470374,Aqua,1,2018,264,0.6261,0.8141,0,2018-09-21T00:00:00Z
