Plant_ID;Variety;Treatment;Chamber;Biomass1;Biomass2;Height;Phyllochron12;Phyllochron13;Phyllochron14;Phyllochron23;Phyllochron24;Phyllochron34;Phyllochron1S;Type
199;Solomon;eCO2;7;0,2390;5,792;35,9;10;16;28;6;18;12;38;Cultivar
200;Carraig;eCO2;7;0,1880;3,465;38,2;10;19;28;9;18;9;42;Cultivar
201;Dunluce;eCO2;7;0,1860;1,209;36,1;11;20;26;9;15;6;36;Cultivar
202;Aberchoice;eCO2;7;0,1150;0,839;23,3;13;19;28;6;15;9;42;Cultivar
203;Abergain;eCO2;7;0,2040;4,189;44,8;12;18;27;6;15;9;41;Cultivar
204;Aspect;eCO2;7;0,0610;1,771;46,7;11;20;26;9;15;6;47;Cultivar
205;Semi-natural6;eCO2;7;0,0290;0,888;37,9;10;19;22;9;12;3;43;Semi
206;Semi-natural7;eCO2;7;0,0430;2,045;33,7;6;15;21;9;15;6;42;Semi
207;Semi-natural11;eCO2;7;0,0210;1,263;38,2;7;13;19;6;12;6;43;Semi
208;Wild4;eCO2;7;0,0100;0,042;50,9;8;17;30;9;22;13;33;Wild
209;Wild6;eCO2;7;0,0740;3,239;38,6;9;18;21;9;12;3;48;Wild
210;Wild7;eCO2;7;0,1020;1,651;27,1;12;18;30;6;18;12;41;Wild
211;Moy;eCO2W;7;0,0150;0,971;39,2;6;15;24;9;18;9;35;Cultivar
212;Lilora;eCO2W;7;0,4780;7,891;38,6;8;13;22;5;14;9;38;Cultivar
213;Solomon;eCO2W;7;0,3400;9,389;37,2;8;13;22;5;14;9;38;Cultivar
214;Carraig;eCO2W;7;0,4120;8,431;36,7;10;13;19;3;9;6;38;Cultivar
215;Dunluce;eCO2W;7;0,1400;3,366;52,1;8;17;23;9;15;6;37;Cultivar
216;Aberchoice;eCO2W;7;0,0400;1,758;47,7;9;15;24;6;15;9;45;Cultivar
217;Abergain;eCO2W;7;0,0390;1,532;40,5;7;16;19;9;12;3;40;Cultivar
